"Section","Invoice No.","Tenant","Unit","Bill Date","Due Date","Period","Status","Description","Previous Reading","Current Reading","Consumption","Rate","Amount"
"Utility Charge","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Electricity","201897.7600","202430.7800","1,323.51 kWh","PHP 13.82/kWh","PHP 18,290.91"
"Utility Charge","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Water","2235.8000","2243.6000","20.6 m³","PHP 60.00/m³","PHP 1,236.00"
"Utility Charge","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Thermal Energy","6200130.8000","6201655.9000","16,877.8 kBUT/h","PHP 0.76/kBUT/h","PHP 12,827.13"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Subtotal","","","","","PHP 32,354.04"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","VAT (12%)","","","","","PHP 0.00"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Current Charges","","","","","PHP 32,354.04"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Previous Balance","","","","","PHP 0.00"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Payments Received","","","","","PHP 0.00"
"Summary","17","Tenant User","A-101","April 6, 2026","May 10, 2026","Apr 1, 2026 - Apr 30, 2026","PAID","Total Amount Due","","","","","PHP 32,354.04"
